extractor,judge_a,judge_b,mean_a,mean_b,delta,p_raw,p_adj_BH,sig
Llama-3.3-70B,Llama-3.2-3B,Qwen2.5-7B,2.231,1.846,0.385,0.0784,0.126,ns
Llama-3.3-70B,Llama-3.2-3B,Claude-Sonnet-4.6,2.231,2.385,-0.154,0.2863,0.3682,ns
Llama-3.3-70B,Llama-3.2-3B,GPT-4.1,2.231,2.385,-0.154,0.2863,0.3682,ns
Llama-3.3-70B,Qwen2.5-7B,Claude-Sonnet-4.6,1.846,2.385,-0.538,0.0047,0.0126,*
Llama-3.3-70B,Qwen2.5-7B,GPT-4.1,1.846,2.385,-0.538,0.0047,0.0126,*
Llama-3.3-70B,Claude-Sonnet-4.6,GPT-4.1,2.385,2.385,0.0,1.0,1.0,ns
Gemma-3-27B,DeepSeek-V3-685B,Kimi-K2-1T,2.704,2.333,0.37,0.026,0.0649,ns
Gemma-3-27B,DeepSeek-V3-685B,Llama-3.3-70B,2.704,2.519,0.185,0.2051,0.2865,ns
Gemma-3-27B,DeepSeek-V3-685B,Gemma-3-27B,2.704,2.593,0.111,0.5107,0.6048,ns
Gemma-3-27B,DeepSeek-V3-685B,Qwen3-32B,2.704,2.815,-0.111,0.4471,0.5437,ns
Gemma-3-27B,DeepSeek-V3-685B,Llama-3.1-8B,2.704,2.093,0.611,0.0,0.0003,***
Gemma-3-27B,DeepSeek-V3-685B,Llama-3.2-3B,2.704,2.141,0.563,0.0001,0.0006,***
Gemma-3-27B,DeepSeek-V3-685B,Qwen2.5-7B,2.704,2.037,0.667,0.0001,0.0006,***
Gemma-3-27B,DeepSeek-V3-685B,Claude-Sonnet-4.6,2.704,2.296,0.407,0.0072,0.0227,*
Gemma-3-27B,DeepSeek-V3-685B,GPT-4.1,2.704,2.444,0.259,0.0761,0.1426,ns
Gemma-3-27B,Kimi-K2-1T,Llama-3.3-70B,2.333,2.519,-0.185,0.3373,0.4337,ns
Gemma-3-27B,Kimi-K2-1T,Gemma-3-27B,2.333,2.593,-0.259,0.1167,0.1945,ns
Gemma-3-27B,Kimi-K2-1T,Qwen3-32B,2.333,2.815,-0.481,0.0028,0.0115,*
Gemma-3-27B,Kimi-K2-1T,Llama-3.1-8B,2.333,2.093,0.241,0.0492,0.0962,ns
Gemma-3-27B,Kimi-K2-1T,Llama-3.2-3B,2.333,2.141,0.193,0.0869,0.1504,ns
Gemma-3-27B,Kimi-K2-1T,Qwen2.5-7B,2.333,2.037,0.296,0.0855,0.1504,ns
Gemma-3-27B,Kimi-K2-1T,Claude-Sonnet-4.6,2.333,2.296,0.037,0.6466,0.6973,ns
Gemma-3-27B,Kimi-K2-1T,GPT-4.1,2.333,2.444,-0.111,0.6508,0.6973,ns
Gemma-3-27B,Llama-3.3-70B,Gemma-3-27B,2.519,2.593,-0.074,0.5422,0.6257,ns
Gemma-3-27B,Llama-3.3-70B,Qwen3-32B,2.519,2.815,-0.296,0.0426,0.0872,ns
Gemma-3-27B,Llama-3.3-70B,Llama-3.1-8B,2.519,2.093,0.426,0.0034,0.0128,*
Gemma-3-27B,Llama-3.3-70B,Llama-3.2-3B,2.519,2.141,0.378,0.0076,0.0227,*
Gemma-3-27B,Llama-3.3-70B,Qwen2.5-7B,2.519,2.037,0.481,0.0074,0.0227,*
Gemma-3-27B,Llama-3.3-70B,Claude-Sonnet-4.6,2.519,2.296,0.222,0.1562,0.2343,ns
Gemma-3-27B,Llama-3.3-70B,GPT-4.1,2.519,2.444,0.074,0.6123,0.6888,ns
Gemma-3-27B,Gemma-3-27B,Qwen3-32B,2.593,2.815,-0.222,0.1562,0.2343,ns
Gemma-3-27B,Gemma-3-27B,Llama-3.1-8B,2.593,2.093,0.5,0.0004,0.0026,**
Gemma-3-27B,Gemma-3-27B,Llama-3.2-3B,2.593,2.141,0.452,0.001,0.0047,**
